Model,N_Images,Premise_Similarity_Mean,Premise_Similarity_Std,Premise_Similarity_Min,Premise_Similarity_Max,Premise_Similarity_Median,Conclusion_Similarity_Mean,Conclusion_Similarity_Std,Conclusion_Similarity_Min,Conclusion_Similarity_Max,Conclusion_Similarity_Median
llava,58,0.4879,0.1615,0.0,0.7682,0.4927,0.4421,0.1753,0.0,0.7835,0.4692
minicpm-v,58,0.5026,0.1942,0.0,0.9082,0.5238,0.5314,0.1302,0.1765,0.7852,0.542
nemotron-3-nano-omni-30b-a3b-reasoning-image-only,58,0.4643,0.2454,0.0,0.8145,0.5589,0.411,0.2236,0.0,0.7966,0.4591
